id,Name,Fueltype,Technology,Set,Country,Capacity,lat,lon,DateIn,DateOut
mastr_SEE966844914388,mastr_SEE966844914388,Oil,steam turbine,PP,DE,45.625,51.291051,11.946559,1994.0,
mastr_SEE941844408532,mastr_SEE941844408532,Oil,steam turbine,PP,DE,45.625,51.291051,11.946559,1994.0,
mastr_SEE905270326723,mastr_SEE905270326723,Oil,steam turbine,PP,DE,45.625,51.291051,11.946559,1994.0,
mastr_SEE945142388725,mastr_SEE945142388725,Natural Gas,OCGT,PP,DE,3.331,47.788995,11.054043,2020.0,
mastr_SEE915883553447,mastr_SEE915883553447,Natural Gas,CCGT,PP,DE,282.0,48.767533,11.580019,2010.0,
mastr_SEE973737205324,mastr_SEE973737205324,Natural Gas,CCGT,PP,DE,282.0,48.767533,11.580019,2010.0,
mastr_SEE924780675428,mastr_SEE924780675428,Natural Gas,CCGT,PP,DE,282.0,48.767533,11.580019,2010.0,
mastr_SEE992498266191,mastr_SEE992498266191,Oil,steam turbine,PP,DE,2.0,52.532189,13.239704,1985.0,
mastr_SEE937613870440,mastr_SEE937613870440,Natural Gas,OCGT,PP,DE,5.6037,50.897014,10.764173,2015.0,
mastr_SEE968234156613,mastr_SEE968234156613,Natural Gas,OCGT,PP,DE,25.0,51.017621,6.988981,1981.0,
mastr_SEE929785534022,mastr_SEE929785534022,Oil,steam turbine,PP,DE,2.9,51.378911,6.634418,1994.0,
mastr_SEE907063235991,mastr_SEE907063235991,Oil,steam turbine,PP,DE,2.0,52.532189,13.239704,1985.0,
mastr_SEE929083016459,mastr_SEE929083016459,Natural Gas,OCGT,PP,DE,5.0,52.435133,13.581854,1994.0,
mastr_SEE947895305424,mastr_SEE947895305424,Natural Gas,OCGT,PP,DE,5.0,52.435133,13.581854,1994.0,
mastr_SEE993408840296,mastr_SEE993408840296,Hard Coal,steam turbine,PP,DE,45.99,51.685697,7.101964,1972.0,
mastr_SEE948129095272,mastr_SEE948129095272,Natural Gas,CCGT,PP,DE,576.0,48.767533,11.580019,2011.0,
mastr_SEE984037976906,mastr_SEE984037976906,Natural Gas,OCGT,PP,DE,61.127,51.690099,7.077938,1973.0,2025.0
mastr_SEE921046341738,mastr_SEE921046341738,Natural Gas,OCGT,PP,DE,3.36,51.492957,13.736196,2023.0,
mastr_SEE934361309352,mastr_SEE934361309352,Natural Gas,OCGT,PP,DE,77.567,51.689954,7.077633,1974.0,2025.0
mastr_SEE918056935682,mastr_SEE918056935682,Natural Gas,OCGT,PP,DE,35.45,51.690002,7.077804,1973.0,2025.0
mastr_SEE938587513135,mastr_SEE938587513135,Natural Gas,OCGT,PP,DE,54.0,51.60242,7.009876,2023.0,
mastr_SEE953777029685,mastr_SEE953777029685,Natural Gas,OCGT,PP,DE,3.877,50.871988,7.110339,2017.0,
mastr_SEE923412553844,mastr_SEE923412553844,Natural Gas,OCGT,PP,DE,9.0,52.625416,10.245883,2000.0,
mastr_SEE961788817153,mastr_SEE961788817153,Natural Gas,OCGT,PP,DE,9.156,51.478138,13.889436,1997.0,
mastr_SEE922477386435,mastr_SEE922477386435,Natural Gas,CCGT,PP,DE,387.0,49.42092,11.00767,1975.0,
mastr_SEE920797731706,mastr_SEE920797731706,Oil,steam turbine,PP,DE,2.155,50.937409,6.907383,2021.0,
mastr_SEE919866246159,mastr_SEE919866246159,Oil,steam turbine,PP,DE,4.0,48.728113,11.250156,2014.0,
mastr_SEE969707026280,mastr_SEE969707026280,Hard Coal,steam turbine,PP,DE,5.484,51.017621,6.988981,1999.0,
mastr_SEE941166182769,mastr_SEE941166182769,Hard Coal,steam turbine,PP,DE,12.671,51.017621,6.988981,1991.0,
mastr_SEE976193474983,mastr_SEE976193474983,Hard Coal,steam turbine,PP,DE,12.671,51.017621,6.988981,1989.0,
mastr_SEE989771083484,mastr_SEE989771083484,Hard Coal,steam turbine,PP,DE,8.234,51.017621,6.988981,1970.0,
mastr_SEE945462188876,mastr_SEE945462188876,Natural Gas,OCGT,PP,DE,27.47,51.017621,6.988981,1971.0,
mastr_SEE956973616802,mastr_SEE956973616802,Hard Coal,steam turbine,PP,DE,17.235,51.017621,6.988981,1958.0,2025.0
mastr_SEE976489828827,mastr_SEE976489828827,Hard Coal,steam turbine,PP,DE,19.235,51.017621,6.988981,1955.0,
mastr_SEE929161243203,mastr_SEE929161243203,Hard Coal,steam turbine,PP,DE,522.0,50.088056,8.952222,1992.0,
